
2024/07/11 (14:00:37) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/07/11 (14:00:37) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/07/11 (14:00:37) | DEBUG: Shared::init() : Initialized.
2024/07/11 (14:00:54) | INFO: Quitting! Runtime: 00:00:17

2024/07/11 (14:02:38) | ===> btop++ v.1.3.2
2024/07/11 (14:02:38) | INFO: Logger set to DEBUG
2024/07/11 (14:02:38) | DEBUG: Using locale en_US.UTF-8
2024/07/11 (14:02:38) | INFO: Running on /dev/pts/0
2024/07/11 (14:02:38) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/07/11 (14:02:38) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/07/11 (14:02:38) | DEBUG: Shared::init() : Initialized.
2024/07/11 (14:03:08) | DEBUG: Writing new config file
2024/07/11 (14:03:08) | INFO: Quitting! Runtime: 00:00:30

2024/07/11 (14:03:46) | ===> btop++ v.1.3.2
2024/07/11 (14:03:46) | INFO: Logger set to DEBUG
2024/07/11 (14:03:46) | DEBUG: Using locale en_US.UTF-8
2024/07/11 (14:03:46) | INFO: Running on /dev/pts/0
